Water Body,Site ID,Date Sampled,Replicate Number,Richness,Richness Score,HBI,HBI Score,PMA,PMA Score,Diversity,Diversity Score,DOM3,DOM3 Score,Final BAP Score
Eighteenmile Creek,emil-0.2,8/3/2021,1,4,0,8.5,3.75,35,1,1.685,0.93,90,2.5,1.64
Eighteenmile Creek,emil-0.2,8/3/2021,2,15,5.45,7.67,5.82,60,6,2.554,5.27,79,4.33,5.37
Eighteenmile Creek,emil-0.2,8/3/2021,3,15,5.45,8.53,3.68,46,3.2,3.112,7.78,60.66,7.39,5.5
Eighteenmile Creek,emil-0.6,8/3/2021,1,20,7.88,7.16,7.1,74,8.8,3.633,9.08,49,9.33,8.44
Eighteenmile Creek,emil-0.6,8/3/2021,2,4,0,8.31,4.22,40,2,1.796,1.48,87.5,2.92,2.12
Eighteenmile Creek,emil-0.6,8/3/2021,3,8,1.36,9.16,2.1,32,0.4,1.886,1.93,90.2,2.45,1.65
Eighteenmile Creek,emil-1.0,8/3/2021,1,9,1.82,8.67,3.33,39,1.8,2.437,4.69,75,5,3.33
Eighteenmile Creek,emil-1.0,8/3/2021,2,7,0.91,8.12,4.7,56,5.2,2.378,4.39,75,5,4.04
Eighteenmile Creek,emil-1.0,8/3/2021,3,2,0,6.67,8.32,30,0,0.918,0,100,0,1.66
Eighteenmile Creek,emil-1.6,8/4/2021,1,6,0.45,9.22,1.95,34,0.8,1.824,1.62,88.89,2.68,1.5
Eighteenmile Creek,emil-1.6,8/4/2021,2,7,0.91,8.79,3.03,33,0.6,2.177,3.38,82.05,3.83,2.35
Eighteenmile Creek,emil-1.6,8/4/2021,3,8,1.36,8.8,3,45,3,2.225,3.63,84.31,3.45,2.89
Eighteenmile Creek,emil-1.9,8/4/2021,1,21,8.27,7.59,6.03,35,1,3.55,8.88,52.53,8.74,6.58
Eighteenmile Creek,emil-1.9,8/4/2021,2,23,9.04,7.4,6.5,44,2.8,3.795,9.49,47,9.67,7.5
Eighteenmile Creek,emil-1.9,8/4/2021,3,23,9.04,8.55,3.62,63,6.6,3.569,8.92,52,8.83,7.4
